class_id,鸟种,科学名,体重_g,跗蹠长度_mm,翅长_mm,尾长_mm,喙长_mm,喙宽_mm,喙深_mm,主要生活方式,主要食性,栖息地,分布范围_km2
122,Harris Sparrow,Zonotrichia querula,35.5,24.3,86.9,80.9,16.0,5.1,7.5,Terrestrial,Omnivore,Shrubland,1699160.3
123,Henslow Sparrow,Ammodramus henslowii,12.8,16.7,54.7,49.9,13.6,4.4,6.8,Generalist,Omnivore,Grassland,1306487.74
124,Le Conte Sparrow,Ammodramus leconteii,13.0,17.3,53.0,52.0,11.2,4.2,5.0,Generalist,Granivore,Grassland,2867567.84
125,Lincoln Sparrow,Melospiza lincolnii,16.6,20.1,64.0,56.8,13.2,4.0,5.1,Generalist,Omnivore,Wetland,7567216.93
126,Nelson Sharp tailed Sparrow,Ammodramus nelsoni,15.1,21.7,56.4,47.7,14.4,3.8,5.2,Generalist,Invertivore,Wetland,2592907.6
127,Savannah Sparrow,Passerculus sandwichensis,20.0,20.7,72.8,51.2,12.8,4.1,5.4,Generalist,Omnivore,Grassland,13886974.46
128,Seaside Sparrow,Ammodramus maritimus,22.2,22.9,60.6,54.8,16.3,4.2,6.3,Terrestrial,Invertivore,Wetland,184267.84
129,Song Sparrow,Melospiza melodia,21.9,21.5,66.3,67.2,13.4,5.3,6.7,Generalist,Omnivore,Shrubland,10313728.38
130,Tree Sparrow,Passer montanus,21.4,16.4,67.9,51.0,13.2,5.5,6.5,Terrestrial,Granivore,Woodland,39069801.39
131,Vesper Sparrow,Pooecetes gramineus,25.7,20.1,78.6,59.6,12.0,4.9,6.6,Generalist,Omnivore,Grassland,6371227.47
132,White crowned Sparrow,Zonotrichia leucophrys,28.0,22.8,78.7,70.6,15.4,4.5,6.0,Generalist,Omnivore,Shrubland,7364178.61
133,White throated Sparrow,Zonotrichia albicollis,24.4,23.0,72.8,70.4,13.6,5.1,6.3,Terrestrial,Omnivore,Woodland,5662700.85
134,Cape Glossy Starling,Lamprotornis nitens,85.6,31.9,118.3,79.8,22.4,5.2,6.4,Insessorial,Omnivore,Grassland,3006322.47
135,Bank Swallow,Riparia riparia,12.7,10.6,101.2,48.3,9.3,3.5,2.3,Aerial,Invertivore,Riverine,42348582.97
136,Barn Swallow,Hirundo rustica,17.9,11.7,115.8,71.4,12.4,4.5,2.7,Aerial,Invertivore,Human Modified,51701054.06
137,Cliff Swallow,Petrochelidon pyrrhonota,21.6,12.6,109.3,49.2,11.3,4.5,3.0,Aerial,Invertivore,Grassland,11994340.08
138,Tree Swallow,Tachycineta bicolor,21.2,12.2,115.9,54.0,10.8,3.8,2.8,Aerial,Invertivore,Wetland,11720977.55
139,Scarlet Tanager,Piranga olivacea,28.2,19.4,92.6,63.8,18.8,7.2,8.2,Insessorial,Invertivore,Forest,2605301.09
140,Summer Tanager,Piranga rubra,29.1,19.5,92.0,71.3,19.2,8.4,9.0,Insessorial,Invertivore,Forest,3269576.69
141,Artic Tern,Sterna paradisaea,110.0,16.1,262.7,179.6,37.8,3.8,7.0,Aerial,Aquatic predator,Coastal,10398468.44
142,Black Tern,Chlidonias niger,65.3,15.8,201.7,77.8,31.1,3.5,5.4,Aerial,Aquatic predator,Wetland,12943719.56
143,Caspian Tern,Sterna caspia,655.0,42.6,410.7,148.7,78.7,10.4,19.2,Aerial,Aquatic predator,Wetland,6293644.91
144,Common Tern,Sterna hirundo,129.2,19.5,253.3,129.8,44.5,3.8,7.0,Aerial,Aquatic predator,Marine,30248469.5
145,Elegant Tern,Sterna elegans,260.0,28.2,296.6,126.6,64.4,5.8,10.3,Aerial,Aquatic predator,Coastal,1309.31
146,Forsters Tern,Sterna forsteri,149.0,24.3,252.6,131.4,45.3,4.9,8.8,Aerial,Aquatic predator,Wetland,1801878.95
147,Least Tern,Sterna antillarum,45.9,14.6,165.1,77.8,29.5,3.1,5.6,Aerial,Aquatic predator,Marine,1340830.63
148,Green tailed Towhee,Pipilo chlorurus,29.4,24.1,77.6,87.6,15.1,4.7,6.9,Generalist,Omnivore,Shrubland,1737517.52
149,Brown Thrasher,Toxostoma rufum,68.8,34.2,102.5,121.8,30.1,5.4,6.3,Generalist,Omnivore,Shrubland,5678627.88
150,Sage Thrasher,Oreoscoptes montanus,44.2,29.4,97.7,96.0,20.8,4.4,5.3,Terrestrial,Invertivore,Shrubland,1992131.03
151,Black capped Vireo,Vireo atricapilla,9.0,19.8,54.8,42.9,13.1,3.7,3.3,Insessorial,Invertivore,Shrubland,315128.21
