,体重_g,跗蹠长度_mm,翅长_mm,尾长_mm,喙长_mm,喙宽_mm,喙深_mm
glcm_energy_std,-0.36704359185442886,-0.1425593723761168,-0.439885471499524,-0.5048609517982267,-0.32565669715959006,-0.28114003630618467,-0.27631771556645013
glcm_correlation_mean,0.4687132605008189,0.29924747318051065,0.535730156744526,0.22739818705571868,0.47326128144289925,0.30266659493042825,0.3316043616659267
glcm_correlation_std,-0.5065467826544086,-0.3485723889792237,-0.5606309193307741,-0.28663489538717835,-0.4809312924640287,-0.3121891114893964,-0.3509853667661665
lbp_0,-0.10388749322082381,-0.009785177633131753,-0.2036559869678229,-0.005388223612013401,-0.2027167561795098,-0.012230590040760657,-0.06356621627891951
lbp_1,0.005673190761250371,0.09824555360077898,-0.10340716684612065,0.03169706543253039,-0.09614290560438199,0.015484029013207846,0.019352501415983707
lbp_2,-0.09703001263778413,0.017761229982566296,-0.20164367534074748,-0.11956846210745439,-0.19730964592610456,-0.07934280222222603,-0.10085278577066889
lbp_3,-0.39188142702756046,-0.2674572716779309,-0.36520718447580247,-0.3396980975172903,-0.2934052983822046,-0.2791146073862844,-0.31251364408692667
lbp_4,-0.2183030904495365,-0.24775040695825404,-0.1229490153155392,-0.21788404221741273,-0.06748199604645151,-0.18562680971456236,-0.18235532041621638
lbp_5,0.2475330733087974,0.12698154359622155,0.3112947834076668,0.11524903285055223,0.3090790926623279,0.1400614104465396,0.2045304366705081
lbp_6,0.4182260628669205,0.3602041944931442,0.32195560989564664,0.19843498507889387,0.23219747035763336,0.267195333272101,0.3106631549011425
lbp_7,0.1966603627120113,0.2028830498498447,0.10616425128187512,0.2170072558306583,0.04325088162746004,0.18903253093543168,0.14604987774044015
lbp_8,0.2964077167205001,0.1762232036293913,0.3433140139971102,0.41733831959707585,0.2662692404188327,0.2452419342569599,0.23790074996486016
lbp_9,-0.003965383336162177,0.052169862814079336,-0.09851326697035953,0.08695485863847072,-0.13921827553822338,0.06801990440112438,0.016028071715377512
fractal_dimension,-0.10819263798147653,-0.030511362941757363,-0.20266220653328137,-0.15114702262201457,-0.1970418780858402,-0.09309471442948955,-0.12439682896620752
symmetry_correlation,0.3371340861461869,0.287162636293724,0.34411728859740753,0.22258898747328132,0.3374932357792305,0.21418085653200064,0.31309046864463563
symmetry_mask_iou,0.45771039052890683,0.41090695570900143,0.4265845641590263,0.19638740010383865,0.40833770585342727,0.17918894638471644,0.3360479360220619
segmentation_quality,0.2549830738153415,0.13785729675277608,0.28847083442386806,0.0484100090219645,0.2145885471478685,0.14576936920636221,0.16705409264936943
